Bezeichung,Kosten €,Durchmesser mm,Min. Biegeradius mm,Mechanische Zugfestigkeit N,Betriebstemperatur °C,Widerstand Ω,Spannungsfestigkeit kV
Kabel 0,2.9,2.7,8.3,80,67,19,2.2
Kabel 1,9.1,2,17.9,80,-6,20,3.7
Kabel 2,2.1,2.7,9.2,60,-12,27,2.9
Kabel 3,10,2.3,18.4,70,-17,18,4.3
Kabel 4,3,1.8,19.5,60,71,25,5.6
Kabel 5,2.8,2.6,26.7,60,61,14,4.8
Kabel 6,3.4,2.2,26.7,80,82,19,4.7
Kabel 7,7.5,2,25.5,60,-4,18,2.2
Kabel 8,1.1,2.7,13.2,90,101,20,4.7
Kabel 9,8.1,1.9,27.5,80,47,24,2
Kabel 10,6.8,2.7,15,70,55,15,5
Kabel 11,7,2.1,14.7,70,45,21,2.9
Kabel 12,6.8,2,15.9,70,138,16,3.5
Kabel 13,7.5,2.4,16.4,80,-27,21,3.4
Kabel 14,3.2,2.5,9.7,70,136,25,5.5
Kabel 15,9.1,2.3,9.5,80,146,26,5.2
Kabel 16,5.2,2,20.8,80,-35,26,5.6
Kabel 17,4.6,2.3,16.7,90,17,26,4.1
Kabel 18,6.2,1.9,14.5,50,62,16,4.2
Kabel 19,5.2,1.9,24.3,50,-38,16,4
Kabel 20,8.2,2.7,13.1,90,90,21,2.9
Kabel 21,4.2,2.5,19.1,90,119,14,3.1
Kabel 22,7.7,2.6,10.4,70,28,19,5.3
Kabel 23,6.8,2.1,16.5,60,133,18,4.2
Kabel 24,9.1,2,9.6,70,123,23,3.6
Kabel 25,7.9,2.6,20.8,70,121,24,4.6
Kabel 26,1.4,1.7,20.1,90,98,19,5.3
Kabel 27,9.9,2,23.4,90,129,15,5.1
Kabel 28,6.7,1.8,11.3,90,-11,25,5.2
Kabel 29,8.5,2,27,100,92,23,4
Kabel 30,4.9,1.6,20.5,60,121,25,3.4
Kabel 31,4.9,2,18.1,70,147,15,5.1
Kabel 32,6.2,2.6,23.4,60,-14,17,2.2
Kabel 33,4.5,2.1,19,90,28,18,2.1
Kabel 34,9.9,2,13.4,60,41,17,3.9
Kabel 35,6.6,2,22.9,60,92,19,5.5
Kabel 36,4.6,2.4,11.6,100,112,20,4.6
Kabel 37,9.2,1.7,27.4,80,-23,13,4.9
Kabel 38,6.6,1.8,20.5,90,109,23,4.2
Kabel 39,9.5,2.6,8.8,70,143,23,2.9
Kabel 40,9.5,2.3,20.4,80,-29,15,4.3
Kabel 41,8.7,2.1,23.7,60,64,21,3.8
Kabel 42,8.5,2.6,8.4,80,71,15,3.2
Kabel 43,5.2,2.7,10.5,70,-35,26,2.7
Kabel 44,3,1.9,21.5,90,51,14,2.8
Kabel 45,1.7,2.3,16.1,90,137,19,5.3
Kabel 46,4,2.2,26,70,-14,18,4
Kabel 47,6.4,1.7,12.6,90,149,24,5.2
Kabel 48,8.8,1.7,19.4,100,61,15,2.5
Kabel 49,5.4,1.8,18.4,60,62,15,5.5
Kabel 50,7.3,2.6,24.8,70,31,17,2.4
Kabel 51,9.6,2.2,18.3,90,106,25,4.7
Kabel 52,1.6,2.2,10.7,90,42,21,3.3
Kabel 53,9.1,2.6,21.2,90,-28,20,3.5
Kabel 54,9.6,2.2,8.1,60,38,18,2.7
Kabel 55,2.1,2,27.2,90,74,19,2
Kabel 56,1.2,2.8,21.5,50,67,17,3
Kabel 57,9.4,1.7,23.3,100,144,26,3.3
Kabel 58,7.9,1.9,25.5,60,-8,17,4.5
Kabel 59,6.2,2.7,8.7,60,131,16,4.1
Kabel 60,9.6,1.8,27.9,100,5,21,5.7
Kabel 61,9.4,2.5,14.4,80,42,14,3.8
Kabel 62,1.9,2.4,25.1,50,142,17,2.9
Kabel 63,8.5,2.4,8.5,90,47,14,3.2
Kabel 64,2.7,2.6,17.8,90,83,16,5.7
Kabel 65,9.5,2.3,17.7,80,133,23,5.5
Kabel 66,3.4,2.3,8.4,50,117,17,4
Kabel 67,2.8,2.6,16.6,60,-17,22,4.3
Kabel 68,3.2,2.8,21.6,80,33,22,5.5
Kabel 69,8.6,2.1,23.7,60,80,20,4.8
Kabel 70,9.6,2.5,25.9,50,-6,22,5.9
Kabel 71,3.4,2.7,20.6,50,76,13,2.2
Kabel 72,4.8,2.3,24.8,60,78,24,2.2
Kabel 73,4.3,1.9,20.4,90,23,19,3.6
Kabel 74,2.8,2.4,23,90,-22,19,4.8
Kabel 75,5.9,2.1,26.2,90,124,15,2.6
Kabel 76,9,2.2,24.7,70,-26,21,4
Kabel 77,9.5,2.7,11.4,90,53,23,3.2
Kabel 78,3.7,2.1,8.5,60,-13,17,4.2
Kabel 79,9.6,2.6,26.1,100,78,22,5
Kabel 80,1,1.8,18.3,80,-36,19,5.7
Kabel 81,9.2,2.6,18.5,100,47,26,5.7
Kabel 82,5.4,2.5,18.4,70,60,19,5
Kabel 83,8.9,2.6,18.6,90,4,20,2.9
Kabel 84,8.8,2.5,21.4,60,145,23,2.3
Kabel 85,3.8,2.7,11.2,90,66,21,4
Kabel 86,6.1,2.2,25.1,60,61,26,3.8
Kabel 87,4.4,2.4,13.2,90,149,27,2.7
Kabel 88,4.2,2.7,21.7,50,125,15,3
Kabel 89,1.2,2.3,12.8,90,117,16,5.4
Kabel 90,5,2.3,16.6,50,-2,15,5.3
Kabel 91,1.3,2.3,10.8,90,30,24,4.6
Kabel 92,9.7,1.9,21.4,50,52,18,4.9
Kabel 93,5.4,2.2,20.3,80,-36,22,5.7
Kabel 94,6.1,2.1,11.3,80,70,14,3.9
Kabel 95,3.9,2.7,9.2,60,52,27,3.5
Kabel 96,2,1.9,24.1,90,44,26,3.6
Kabel 97,9.3,2,20.3,50,61,23,5.5
Kabel 98,1.5,1.9,17.9,60,116,18,5.8
Kabel 99,8.2,2,23.6,70,19,19,4.7
Kabel 100,2.6,1.8,8.2,50,127,21,5.8
Kabel 101,1.3,2.4,21.8,90,105,25,3.9
Kabel 102,2.4,2.4,18.1,90,32,22,5.6
Kabel 103,2.1,2.8,20.3,70,73,21,2.6
Kabel 104,7.4,2.1,14.7,80,-20,26,4.2
Kabel 105,7.9,2.3,11.4,80,-9,15,6
Kabel 106,9.7,2.1,24.4,70,64,27,2.7
Kabel 107,2.2,2.6,26.2,90,145,24,4
Kabel 108,2.3,2.6,10.3,90,137,18,5.7
Kabel 109,8.4,2.2,19.4,60,111,15,2.8
Kabel 110,8.3,2.4,11.6,90,87,23,2.4
Kabel 111,7.2,2.6,23.3,90,47,20,5
Kabel 112,3.9,2,18.2,80,106,14,2.2
